Shelter,Side,Rep,sRep,Experiment,Phase,Type,Species,PotType,AGB_g,BGB_g,Iso_g_raw,log_mixAGB,log_isoAGB,CompEffect,AGB_g,BGB_g,SLA_mm2.mg,LDMC_mg.g,SPAD,Ht_mm,SeedHead,PhaseNum,Control_CompEffect,CompEff_standard
6,East,5,A,Long,Recovery,Mix,Fes,FesMix,15.15,43.29,15.326667,1.180412633,1.185447722,0.005035089,15.15,43.29,23.38148494,172.9411765,44.6,45,0,1,0.3785015,-0.373466411
1,West,11,A,Long,Resistance,Mix,Fes,FesMix,5.6,12.22,12.078333,0.748188027,1.082006999,0.333818972,5.6,12.22,20.67464404,217.1314741,26.9,60,0,0,0.3785015,-0.044682528
1,West,14,C,Long,Resistance,Mix,Fes,FesMix,4.06,15.56,12.078333,0.608526034,1.082006999,0.473480965,4.06,15.56,21.11714209,219.4117647,38.4,30,0,0,0.3785015,0.094979465
4,West,12,C,Long,Resistance,Mix,Fes,FesMix,5.23,11.56,12.078333,0.718501689,1.082006999,0.36350531,5.23,11.56,17.92025051,228.1226054,47.5,25,0,0,0.3785015,-0.01499619
4,West,14,A,Long,Resistance,Mix,Fes,FesMix,5.59,20.44,12.078333,0.747411808,1.082006999,0.334595191,5.59,20.44,17.73190215,218.9473684,30.7,30,0,0,0.3785015,-0.043906309
6,East,11,B,Long,Resistance,Mix,Fes,FesMix,3.83,15.48,12.078333,0.583198774,1.082006999,0.498808225,3.83,15.48,25.04774869,203.1914894,NA,30,0,0,0.3785015,0.120306725
6,East,15,C,Long,Resistance,Mix,Fes,FesMix,3.21,13.15,12.078333,0.506505032,1.082006999,0.575501967,3.21,13.15,23.18064706,208.5106383,NA,10,0,0,0.3785015,0.197000467
2,East,3,C,Long,Control,Mix,Pha,PhaMix,26.14,143.019,89.62,1.417305583,1.95240494,0.535099357,26.14,143.019,28.38654485,184.1262016,21.2,130,0,2,0.53829201,-0.003192653
2,East,8,A,Long,Control,Mix,Pha,PhaMix,28.02,99.783,89.62,1.447468131,1.95240494,0.504936809,28.02,99.783,30.57838325,136.4440869,27.15,190,4,2,0.53829201,-0.033355201
2,East,9,C,Long,Control,Mix,Pha,PhaMix,24.7,90.6105,89.62,1.392696953,1.95240494,0.559707987,24.7,90.6105,29.33069972,160.6179286,36.5,100,0,2,0.53829201,0.021415977
2,East,14,A,Long,Control,Mix,Pha,PhaMix,25.06,102.5205,89.62,1.398981067,1.95240494,0.553423873,25.06,102.5205,28.43784749,150.4589161,30.25,100,0,2,0.53829201,0.015131863
1,West,2,B,Long,Recovery,Mix,Pha,PhaMix,6.98,38.86,24.565,0.843855423,1.390316768,0.546461345,6.98,38.86,28.78502733,226.7561983,46.45,260,0,1,0.53829201,0.008169335
1,West,7,B,Long,Recovery,Mix,Pha,PhaMix,6.41,32.88,24.565,0.80685803,1.390316768,0.583458738,6.41,32.88,26.30266374,235.988024,39.8,140,0,1,0.53829201,0.045166728
4,West,2,A,Long,Recovery,Mix,Pha,PhaMix,6.54,50.86,24.565,0.815577748,1.390316768,0.57473902,6.54,50.86,26.94520732,229.73,40.8,90,0,1,0.53829201,0.03644701
4,West,7,A,Long,Recovery,Mix,Pha,PhaMix,5.68,39.42,24.565,0.754348336,1.390316768,0.635968432,5.68,39.42,29.8736,208.3333333,37.05,80,0,1,0.53829201,0.097676422
6,East,1,C,Long,Recovery,Mix,Pha,PhaMix,4.99,32.56,24.565,0.698100546,1.390316768,0.692216222,4.99,32.56,29.4396,203.7037037,28.7,20,0,1,0.53829201,0.153924212
6,East,5,C,Long,Recovery,Mix,Pha,PhaMix,6.98,43.29,24.565,0.843855423,1.390316768,0.546461345,6.98,43.29,25.94693897,203.8277512,54.1,150,0,1,0.53829201,0.008169335
1,West,11,C,Long,Resistance,Mix,Pha,PhaMix,3.86,12.22,5.37,0.586587305,0.729974286,0.143386981,3.86,12.22,32.15883444,231.1392405,NA,15,0,0,0.53829201,-0.394905029
1,West,14,A,Long,Resistance,Mix,Pha,PhaMix,3.12,15.56,5.37,0.494154594,0.729974286,0.235819692,3.12,15.56,27.53630323,222.4880383,45.1,110,0,0,0.53829201,-0.302472318
4,West,12,B,Long,Resistance,Mix,Pha,PhaMix,3.22,11.56,5.37,0.507855872,0.729974286,0.222118414,3.22,11.56,30.18508696,245.63,NA,20,0,0,0.53829201,-0.316173596
4,West,14,B,Long,Resistance,Mix,Pha,PhaMix,3.41,20.44,5.37,0.532754379,0.729974286,0.197219907,3.41,20.44,29.95408409,234.0848048,NA,10,0,0,0.53829201,-0.341072103
6,East,11,C,Long,Resistance,Mix,Pha,PhaMix,2.41,15.48,5.37,0.382017043,0.729974286,0.347957243,2.41,15.48,26.35367841,215.1658768,38.35,40,0,0,0.53829201,-0.190334767
6,East,15,B,Long,Resistance,Mix,Pha,PhaMix,2.9,13.15,5.37,0.462397998,0.729974286,0.267576288,2.9,13.15,29.07273947,256.7567568,46.6,35,0,0,0.53829201,-0.270715722
2,East,3,B,Long,Control,Mix,Rye,RyeMix,20.62,143.019,59.1,1.314288661,1.771587481,0.45729882,20.62,143.019,21.4054549,186.5398683,32.7,70,0,2,0.45912076,-0.00182194
2,East,8,B,Long,Control,Mix,Rye,RyeMix,16.54,99.783,59.1,1.218535505,1.771587481,0.553051976,16.54,99.783,22.10435065,158.2405745,28.75,60,0,2,0.45912076,0.093931216
2,East,9,B,Long,Control,Mix,Rye,RyeMix,20.9,90.6105,59.1,1.320146286,1.771587481,0.451441195,20.9,90.6105,20.43783621,174.8605578,34.1,60,0,2,0.45912076,-0.007679565
2,East,14,B,Long,Control,Mix,Rye,RyeMix,24.94,102.5205,59.1,1.396896449,1.771587481,0.374691032,24.94,102.5205,19.27216854,147.9844961,34.55,130,26,2,0.45912076,-0.084429728
1,West,2,A,Long,Recovery,Mix,Rye,RyeMix,10.37,38.86,14.66,1.015778756,1.16613397,0.150355214,10.37,38.86,28.91534555,186.0691671,46.85,70,0,1,0.45912076,-0.308765546
1,West,7,C,Long,Recovery,Mix,Rye,RyeMix,14.44,32.88,14.66,1.159567193,1.16613397,0.006566777,14.44,32.88,28.7143758,214.7742818,43.4,55,0,1,0.45912076,-0.452553983
4,West,2,C,Long,Recovery,Mix,Rye,RyeMix,16.18,50.86,14.66,1.208978517,1.16613397,-0.042844547,16.18,50.86,30.18515352,198.392435,43.55,90,0,1,0.45912076,-0.501965307
4,West,7,C,Long,Recovery,Mix,Rye,RyeMix,12.74,39.42,14.66,1.105169428,1.16613397,0.060964542,12.74,39.42,30.26836438,179.4493609,49.7,90,0,1,0.45912076,-0.398156218
6,East,1,A,Long,Recovery,Mix,Rye,RyeMix,19.86,32.56,14.66,1.297979244,1.16613397,-0.131845274,19.86,32.56,31.68513592,182.300885,38.45,40,0,1,0.45912076,-0.590966034
6,East,5,B,Long,Recovery,Mix,Rye,RyeMix,17.31,43.29,14.66,1.238297068,1.16613397,-0.072163098,17.31,43.29,26.37738144,206.3829787,53.3,50,5,1,0.45912076,-0.531283858
1,West,11,B,Long,Resistance,Mix,Rye,RyeMix,4.49,12.22,13.335,0.652246341,1.12499302,0.472746679,4.49,12.22,28.8995463,196.3636364,40.5,30,0,0,0.45912076,0.013625919
1,West,14,B,Long,Resistance,Mix,Rye,RyeMix,6.31,15.56,13.335,0.800029359,1.12499302,0.324963661,6.31,15.56,26.61631,202.020202,36.05,35,0,0,0.45912076,-0.134157099
4,West,12,A,Long,Resistance,Mix,Rye,RyeMix,4.82,11.56,13.335,0.683047038,1.12499302,0.441945982,4.82,11.56,28.38625035,200.08408,NA,40,0,0,0.45912076,-0.017174778
4,West,14,C,Long,Resistance,Mix,Rye,RyeMix,4.81,20.44,13.335,0.682145076,1.12499302,0.442847944,4.81,20.44,28.67900062,199.08948,NA,30,0,0,0.45912076,-0.016272816
6,East,11,A,Long,Resistance,Mix,Rye,RyeMix,5.15,15.48,13.335,0.711807229,1.12499302,0.413185791,5.15,15.48,31.97541667,199.0825688,NA,20,0,0,0.45912076,-0.045934969
6,East,15,A,Long,Resistance,Mix,Rye,RyeMix,4.7,13.15,13.335,0.672097858,1.12499302,0.452895162,4.7,13.15,27.49095484,203.0827068,45.3,35,0,0,0.45912076,-0.006225598
1,East,5,B,Short,Control,Mix,Fes,FesMix,41.41,89.14,37.755,1.617105231,1.576974475,-0.040130756,41.41,89.14,20.57538059,241.48398,29.5,40,0,2,0.06491341,-0.105044166
1,East,10,C,Short,Control,Mix,Fes,FesMix,26.86,139.74,37.755,1.429106008,1.576974475,0.147868467,26.86,139.74,22.96845121,257.655955,28.1,40,0,2,0.06491341,0.082955057
1,East,12,A,Short,Control,Mix,Fes,FesMix,33.29,113.44,37.755,1.522313795,1.576974475,0.05466068,33.29,113.44,21.3220829,231.9711538,30.4,70,0,2,0.06491341,-0.01025273
1,East,16,A,Short,Control,Mix,Fes,FesMix,30.18,114.98,37.755,1.479719235,1.576974475,0.09725524,30.18,114.98,23.8011204,247.0503145,28.95,40,0,2,0.06491341,0.03234183
2,West,4,C,Short,Recovery,Mix,Fes,FesMix,12.04,36.21,13.881667,1.080626487,1.142441622,0.061815135,12.04,36.21,19.12538595,260.0753296,35.7,40,0,1,0.06491341,-0.003098275
2,West,6,A,Short,Recovery,Mix,Fes,FesMix,10.2,45.37,13.881667,1.008600172,1.142441622,0.13384145,10.2,45.37,21.37101292,249.7065463,34.15,40,0,1,0.06491341,0.06892804
4,East,1,A,Short,Recovery,Mix,Fes,FesMix,9.06,31.65,13.881667,0.957128198,1.142441622,0.185313424,9.06,31.65,19.05319186,277.4193548,37,30,0,1,0.06491341,0.120400014
4,East,5,B,Short,Recovery,Mix,Fes,FesMix,8.66,32.05,13.881667,0.937517892,1.142441622,0.20492373,8.66,32.05,19.20519769,233.3333333,32.85,50,0,1,0.06491341,0.14001032
5,East,6,A,Short,Recovery,Mix,Fes,FesMix,7.13,29.34,13.881667,0.85308953,1.142441622,0.289352092,7.13,29.34,20.3898628,237.2384937,30.55,20,0,1,0.06491341,0.224438682
5,East,10,B,Short,Recovery,Mix,Fes,FesMix,10.97,36.4,13.881667,1.040206628,1.142441622,0.102234994,10.97,36.4,20.8940806,255.084808,36,30,0,1,0.06491341,0.037321584
2,West,11,A,Short,Resistance,Mix,Fes,FesMix,4.79,9.5892,3.97,0.680335513,0.598790507,-0.081545006,4.79,9.5892,19.23,226.34,36.3,25,0,0,0.06491341,-0.146458416
2,West,16,B,Short,Resistance,Mix,Fes,FesMix,5.57,11.6032,3.97,0.745855195,0.598790507,-0.147064688,5.57,11.6032,16.61,269.8,31.6,70,0,0,0.06491341,-0.211978098
4,East,11,A,Short,Resistance,Mix,Fes,FesMix,7.06,17.2832,3.97,0.848804701,0.598790507,-0.250014194,7.06,17.2832,16.58,226.11,32.7,40,0,0,0.06491341,-0.314927604
4,East,16,A,Short,Resistance,Mix,Fes,FesMix,4.83,12.0082,3.97,0.683947131,0.598790507,-0.085156624,4.83,12.0082,16.47,254.29,34.5,50,0,0,0.06491341,-0.150070034
5,East,12,A,Short,Resistance,Mix,Fes,FesMix,9.23,25.87,3.97,0.965201701,0.598790507,-0.366411194,9.23,25.87,18.28,224.66,32.1,35,0,0,0.06491341,-0.431324604
