Shelter,Side,Rep,sRep,Experiment,Phase,Type,Species,PotType,AGB_g,BGB_g,Iso_g_raw,log_mixAGB,log_isoAGB,CompEffect,AGB_g,BGB_g,SLA_mm2.mg,LDMC_mg.g,SPAD,Ht_mm,SeedHead,PhaseNum,Control_CompEffect,RelCompEffect,RelCompEffect_pos,RelCompEffect_0to1,CompEffect_diff
5,West,10,B,Double,Resistance,Mix,Rye,RyeMix,16.55,28.25,16.388333,1.218797998,1.21453478,-0.004263218,16.55,28.25,27.09568144,186.0824742,42.7,35,0,0,0.28484924,-0.014966577,6.629648211,0.597151365,-0.289112458
6,East,5,A,Long,Recovery,Mix,Fes,FesMix,15.15,43.29,15.326667,1.180412633,1.185447722,0.005035089,15.15,43.29,23.38148494,172.9411765,44.6,45,0,1,0.3785015,0.013302692,6.65791748,0.599697658,-0.373466411
1,West,7,C,Long,Recovery,Mix,Rye,RyeMix,14.44,32.88,14.66,1.159567193,1.16613397,0.006566777,14.44,32.88,28.7143758,214.7742818,43.4,55,0,1,0.45912076,0.014302941,6.658917729,0.599787754,-0.452553983
4,East,11,B,Short,Resistance,Mix,Rye,RyeMix,11.7,17.2832,12.051429,1.068185862,1.081038546,0.012852684,11.7,17.2832,NA,NA,34.9,45,0,0,0.19165497,0.067061574,6.711676362,0.604539875,-0.178802286
5,West,15,C,Double,Resistance,Mix,Rye,RyeMix,15.26,26.93,16.388333,1.183554534,1.21453478,0.030980246,15.26,26.93,30.29999179,224.4239631,38.3,35,0,0,0.28484924,0.10876015,6.753374938,0.608295785,-0.253868994
2,West,16,A,Short,Resistance,Mix,Rye,RyeMix,10.93,11.6032,12.051429,1.038620162,1.081038546,0.042418384,10.93,11.6032,23.8,303.79,37,70,0,0,0.19165497,0.221326815,6.865941603,0.618434986,-0.149236586
2,West,11,B,Short,Resistance,Mix,Pha,PhaMix,4.66,9.5892,5.207143,0.668385917,0.716599505,0.048213588,4.66,9.5892,28.36,158.49,31.6,25,0,0,0.31125801,0.154899108,6.799513896,0.612451652,-0.263044422
4,West,7,C,Long,Recovery,Mix,Rye,RyeMix,12.74,39.42,14.66,1.105169428,1.16613397,0.060964542,12.74,39.42,30.26836438,179.4493609,49.7,90,0,1,0.45912076,0.132785418,6.777400206,0.610459809,-0.398156218
2,West,4,C,Short,Recovery,Mix,Fes,FesMix,12.04,36.21,13.881667,1.080626487,1.142441622,0.061815135,12.04,36.21,19.12538595,260.0753296,35.7,40,0,1,0.06491341,0.952270648,7.596885436,0.684273186,-0.003098275
2,West,11,C,Short,Resistance,Mix,Rye,RyeMix,10.35,9.5892,12.051429,1.01494035,1.081038546,0.066098196,10.35,9.5892,22.362,307.13,41.9,50,0,0,0.19165497,0.3448812,6.989495988,0.629563882,-0.125556774
