Shelter,Side,Rep,sRep,Experiment,Phase,Type,Species,PotType,AGB_g,BGB_g,RS_ratio,SLA_mm2.mg,LDMC_mg.g,SPAD,Ht_cm,SeedHead,PhaseNum
6,West,8,A,Double,Recovery,Fes,Fes,FesFes,41.27,39.56,0.958565544,17.94078163,192.6479751,47.2,70,0,1
6,West,9,A,Double,Resistance,Rye,Rye,RyeRye,14.21,17.86,1.256861365,24.87230723,190.8045977,53.55,65,0,0
6,West,10,A,Double,Resistance,Mix,Fes,FesMix,7.09,30.71,NA,21.52008974,190.0142387,36.4,30,0,0
6,West,10,B,Double,Resistance,Mix,Rye,RyeMix,18.64,30.71,NA,28.1468874,212.8706159,38.7,40,0,0
6,West,10,C,Double,Resistance,Mix,Pha,PhaMix,5.64,30.71,NA,23.45308885,212.4651129,43.8,40,0,0
6,West,11,A,Double,Resistance,Fes,Fes,FesFes,18.99,25.7,1.353343865,17.57168421,204.3010753,50.6,55,0,0
6,West,12,A,Double,Resistance,Pha,Pha,PhaPha,18.89,16.9,0.894653256,30.23783686,215.8333333,32.75,20,0,0
6,West,13,A,Double,Recovery,Pha,Pha,PhaPha,72.33,60.93,0.84238905,22.15823095,202.4724409,51.2,140,21,1
6,West,14,A,Double,Recovery,Mix,Rye,RyeMix,39.98,92.5,NA,26.5948652,182.6923077,49.15,75,0,1
6,West,14,B,Double,Recovery,Mix,Pha,PhaMix,26.46,92.5,NA,26.85507378,210.4770814,32.9,90,0,1
6,West,14,C,Double,Recovery,Mix,Fes,FesMix,33.28,92.5,NA,20.84675849,185.9649123,43.85,130,2,1
6,West,15,A,Double,Resistance,Fes,Fes,FesFes,22.43,26.67,1.189032546,18.55373469,227.027027,36.45,35,0,0
6,West,16,A,Double,Recovery,Rye,Rye,RyeRye,53.22,60.23,1.131717399,25.13185,191.8213058,35.75,120,0,1
