"","Date","UID","Treatment","Spp","Shelter","Rep","sRep","Side","gs.max","VPD.kpa.max","SoilM"
"192",2018-09-12,"3x-Fes","Double","Fes",6,1,"A","West",197.7,2.3621007732145,0.075
"193",2018-09-19,"1l-Fes","Long","Fes",1,6,"A","West",106.5,3.42478013932695,0.022
"194",2018-09-19,"1s-Fes","Short","Fes",2,3,"A","West",291.4,1.80011526428051,0.099
"195",2018-09-19,"1x-Fes","Double","Fes",3,7,"A","West",269.2,3.36405707907687,0.086
"196",2018-09-19,"2l-Fes","Long","Fes",4,4,"A","West",109.4,2.58874900809751,0.029
"197",2018-09-19,"2s-Fes","Short","Fes",4,14,"A","East",252.5,2.07230600242661,0.059
"198",2018-09-19,"2x-Fes","Double","Fes",5,6,"A","West",247.6,2.42620090537618,0.1145
"199",2018-09-19,"3l-Fes","Long","Fes",6,2,"A","East",76.3,3.74708884687426,0.041
"200",2018-09-19,"3s-Fes","Short","Fes",5,5,"A","East",265.4,2.03076254313981,0.041
"201",2018-09-19,"3x-Fes","Double","Fes",6,1,"A","West",324.6,2.40037555426196,0.0565
"202",2018-09-26,"1l-Fes","Long","Fes",1,6,"A","West",106.7,1.40500051898489,0.021
"203",2018-09-26,"1x-Fes","Double","Fes",3,7,"A","West",270.4,1.05274951047249,0.07
"204",2018-09-26,"2l-Fes","Long","Fes",4,4,"A","West",111.2,1.4859394729196,0.026
"205",2018-09-26,"2x-Fes","Double","Fes",5,6,"A","West",153.6,1.24820611756995,-0.005
"206",2018-09-26,"3l-Fes","Long","Fes",6,2,"A","East",90.9,1.50935919627047,0.038
"207",2018-09-26,"3x-Fes","Double","Fes",6,1,"A","West",257.3,1.1212179584202,0.043
"208",2018-10-03,"1l-Fes","Long","Fes",1,6,"A","West",252.3,1.31035903416096,0.022
"209",2018-10-03,"2l-Fes","Long","Fes",4,4,"A","West",255.9,1.20498627537723,0.026
"210",2018-10-03,"3l-Fes","Long","Fes",6,2,"A","East",44.5,1.85215257115454,0.037
"211",2018-10-16,"1l-Fes","Long","Fes",1,6,"A","West",68.7,2.17019977640744,0.022
"212",2018-10-16,"1x-Fes","Double","Fes",3,7,"A","West",104.8,2.1679537903093,0.055
"213",2018-10-16,"2l-Fes","Long","Fes",4,4,"A","West",61.9,2.60606039784317,0.025
"214",2018-10-16,"2x-Fes","Double","Fes",5,6,"A","West",66.7,2.56677305516211,-0.001
"215",2018-10-16,"3l-Fes","Long","Fes",6,2,"A","East",46.6,2.73907412779323,0.043
"216",2018-10-16,"3x-Fes","Double","Fes",6,1,"A","West",226.9,1.88913174990668,0.04
"217",2018-10-23,"1l-Fes","Long","Fes",1,6,"A","West",109,2.54281921416202,0.053
"218",2018-10-23,"1x-Fes","Double","Fes",3,7,"A","West",88.2,2.93075466306244,0.054
"219",2018-10-23,"2l-Fes","Long","Fes",4,4,"A","West",171.1,2.51005577537767,0.049
"220",2018-10-23,"2x-Fes","Double","Fes",5,6,"A","West",153.3,2.65812553671017,-0.001
